NAME,ADDRESS,CITY,STATE,ZIPCODE,LAT,LONG,STARS,REVIEW_COUNT,IS_OPEN,ACCEPTS_CREDITCARD,PRICE_RANGE,ALCOHOL,WIFI,DOGS_ALLOWED,WHEELCHAIR_ACCESS,APPOINTMENT_ONLY,CATEGORIES,CATEGORY1,TYPE,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,CATEGORY7,CATEGORY8,CATEGORY9,CATEGORY10,CATEGORY11,CATEGORY12,CATEGORY13,CATEGORY14,CATEGORY15,CATEGORY16,,,,,,,,
MAC Diner,"4848 Rt 8, William Flinn Hwy",Allison Park,PA,15101,40.592106,-79.947513,3,12,0,TRUE,2,none,free,,,,"Restaurants, American (Traditional), Diners",Restaurants,, American (Traditional), Diners,,,,,,,,,,,,,,,,,,,,,
Walnut Grill - Bridgeville,1595 Washington Pike,Bridgeville,PA,15017,40.3955602,-80.0867033,3,92,1,TRUE,2,full_bar,free,,TRUE,,"American (Traditional), Bars, Seafood, Restaurants, Wine Bars, American (New), Salad, Nightlife",American (Traditional),, Bars, Seafood, Restaurants, Wine Bars, American (New), Salad, Nightlife,,,,,,,,,,,,,,,,
365 Hospice,2549 Mosside Blvd,Monroeville,PA,15146,40.4272009,-79.753443,3.5,3,1,,,,,,,,"Health & Medical, Hospice",Health ,, Medical, Hospice,,,,,,,,,,,,,,,,,,,,,
NOLA,24 Market Sq,Pittsburgh,PA,15222,40.441184,-80.0030461,3.5,480,1,TRUE,2,full_bar,no,,,,"Restaurants, Cajun/Creole",Restaurants,, Cajun/Creole,,,,,,,,,,,,,,,,,,,,,,
Pizza Fiesta,14 Smithfield St,Pittsburgh,PA,15222,40.4370263,-80.0003975,3,42,1,TRUE,1,none,no,,TRUE,,"Restaurants, Italian, Pizza, Chicken Wings",Restaurants,, Italian, Pizza, Chicken Wings,,,,,,,,,,,,,,,,,,,,
Starbucks,1001 Liberty Ave,Pittsburgh,PA,15222,40.44385252,-79.99366054,3.5,14,1,TRUE,2,,free,TRUE,TRUE,,"Food, Coffee & Tea, Sandwiches, Restaurants, Cafes, Fast Food",Food,, Coffee , Tea, Sandwiches, Restaurants, Cafes, Fast Food,,,,,,,,,,,,,,,,,
Koolkat Designs,691 Washington Rd,Pittsburgh,PA,15228,40.3802644,-80.0442919,3.5,3,0,TRUE,2,,,,,FALSE,"Shopping, Jewelry",Shopping,, Jewelry,,,,,,,,,,,,,,,,,,,,,,
Muddy Cup,419 Lincoln Ave,Pittsburgh,PA,15202,40.4943236,-80.0530878,4,16,1,TRUE,2,,free,,,,"Coffee & Tea, Food",Coffee ,, Tea, Food,,,,,,,,,,,,,,,,,,,,,
SuperShuttle,,Pittsburgh,PA,15233,40.4543466,-80.0283415,3.5,86,1,,,,,,,,"Transportation, Airport Shuttles, Hotels & Travel",Transportation,, Airport Shuttles, Hotels , Travel,,,,,,,,,,,,,,,,,,,,
Bellisario's Automotive,3529 Blvd Of The Allies,Pittsburgh,PA,15213,40.434969,-79.9551834,4.5,6,1,TRUE,,,,,,,"Automotive, Auto Repair",Automotive,, Auto Repair,,,,,,,,,,,,,,,,,,,,,,
Sunoco,4551-4599 Bayard St,Pittsburgh,PA,15213,40.44946991,-79.95085716,2.5,7,1,TRUE,,,,,,,"Gas Stations, Automotive",Gas Stations,, Automotive,,,,,,,,,,,,,,,,,,,,,,
Western Psychiatric Institute and Clinic of UPMC,3811 O'Hara St,Pittsburgh,PA,15213,40.4436261,-79.9596871,1,4,1,,,,,,,,"Hospitals, Health & Medical, Counseling & Mental Health, Medical Centers",Hospitals,, Health , Medical, Counseling , Mental Health, Medical Centers,,,,,,,,,,,,,,,,,,
Luxx and Locks Salon and Boutique,1003 E Carson St,Pittsburgh,PA,15203,40.4288591,-79.9882862,5,5,0,TRUE,2,,,,,TRUE,"Fashion, Hair Salons, Used, Vintage & Consignment, Beauty & Spas, Shopping, Women's Clothing",Fashion,, Hair Salons, Used, Vintage , Consignment, Beauty , Spas, Shopping, Women's Clothing,,,,,,,,,,,,,,,
Panera Bread,600 Commons Blvd,McKees Rocks,PA,15136,40.4399412,-80.1488618,3,6,0,TRUE,1,none,free,,,,"Restaurants, Sandwiches",Restaurants,, Sandwiches,,,,,,,,,,,,,,,,,,,,,,
Petco,"976 Freeport Rd, Rm A2",Pittsburgh,PA,15238,40.4887353,-79.8898205,4,9,1,,,,,,,,"Pet Training, Pet Groomers, Pet Services, Pet Sitting, Pet Stores, Pets",Pet Training,, Pet Groomers, Pet Services, Pet Sitting, Pet Stores, Pets,,,,,,,,,,,,,,,,,,
GENCO Marketplace,100 Papercraft Park,Pittsburgh,PA,15238,40.4882171,-79.8686651,1,3,1,,,,,,,,Professional Services,Professional Services,,,,,,,,,,,,,,,,,,,,,,,,
"Dinakar Golla, MD - Golla Center for Plastic Surgery & Spa","107 Gamma Dr, Ste 210",Pittsburgh,PA,15238,40.4959084,-79.870683,4,6,1,,,,,,,,"Doctors, Health & Medical, Cosmetic Surgeons, Plastic Surgeons",Doctors,, Health , Medical, Cosmetic Surgeons, Plastic Surgeons,,,,,,,,,,,,,,,,,,,
Buffalo Wild Wings,3469 William Penn Highway,Wilkins Township,PA,15235,40.4306867,-79.80987647,3.5,55,1,TRUE,2,full_bar,free,,TRUE,,"Sports Bars, Nightlife, American (Traditional), Restaurants, Bars, Chicken Wings",Sports Bars,, Nightlife, American (Traditional), Restaurants, Bars, Chicken Wings,,,,,,,,,,,,,,,,,,
Low-Key Love,"1525 Park Manor Blvd, Ste 100",Pittsburgh,PA,15205,40.4546636,-80.1644337,5,3,1,TRUE,,,,,,,"Photographers, Event Photography, Event Planning & Services",Photographers,, Event Photography, Event Planning , Services,,,,,,,,,,,,,,,,,,,,
Mike Feinberg,1736 Penn Ave,Pittsburgh,PA,15222,40.4502241,-79.9847785,4.5,13,0,TRUE,2,,,,,,"Flowers & Gifts, Shopping, Home & Garden, Cards & Stationery, Party Supplies, Souvenir Shops, Arts & Crafts, Kitchen & Bath, Event Planning & Services",Flowers ,, Gifts, Shopping, Home , Garden, Cards , Stationery, Party Supplies, Souvenir Shops, Arts , Crafts, Kitchen , Bath, Event Planning , Services,,,,,,,,,
Sunny's Fashions,2100 Penn Ave,Pittsburgh,PA,15222,40.4516814,-79.9829161,3.5,3,1,TRUE,2,,,,,,"Shopping, Fashion, Shoe Stores",Shopping,, Fashion, Shoe Stores,,,,,,,,,,,,,,,,,,,,,
Mad Science of Pittsburgh,100 Hafner Ave,Pittsburgh,PA,15215,40.49441218,-79.93955712,3.5,3,1,TRUE,,,,,,,"Adult Education, Event Planning & Services, Party & Event Planning, Summer Camps, Active Life, Education",Adult Education,, Event Planning , Services, Party , Event Planning, Summer Camps, Active Life, Education,,,,,,,,,,,,,,,,
Penn City Grill,1000 Penn Ave,Pittsburgh,PA,15222,40.44411701,-79.99498611,2.5,6,1,TRUE,3,,,,,,"Restaurants, American (New)",Restaurants,, American (New),,,,,,,,,,,,,,,,,,,,,,
Above & Beyond Catering,807 Glass Run Rd,Pittsburgh,PA,15227,40.38583003,-79.96758457,3.5,3,1,,,,,,,,"Event Planning & Services, Food, Caterers, Food Delivery Services",Event Planning ,, Services, Food, Caterers, Food Delivery Services,,,,,,,,,,,,,,,,,,,
Palarino's Car Wash,10560 Rte 30,North Huntingdon,PA,15642,40.32680101,-79.71720588,3,6,1,TRUE,,,,,,,"Car Wash, Auto Detailing, Automotive",Car Wash,, Auto Detailing, Automotive,,,,,,,,,,,,,,,,,,,,,
Prime Time Fitness,2922 Duss Ave,Ambridge,PA,15003,40.6143399,-80.2245067,2.5,3,1,,,,,,,,"Active Life, Gyms, Specialty Food, Health Markets, Trainers, Beauty & Spas, Food, Tanning, Fitness & Instruction",Active Life,, Gyms, Specialty Food, Health Markets, Trainers, Beauty , Spas, Food, Tanning, Fitness , Instruction,,,,,,,,,,,,,
Miller's Crossing Fleatique,210 4th St,Irwin,PA,15642,40.33174537,-79.70995758,4.5,7,1,TRUE,1,,,,TRUE,FALSE,"Shopping, Flea Markets, Antiques",Shopping,, Flea Markets, Antiques,,,,,,,,,,,,,,,,,,,,,
Cafe de Noir,802 Brookline Blvd,Pittsburgh,PA,15226,40.3935102,-80.0200891,4.5,10,0,TRUE,1,none,free,,,,"Sandwiches, Coffee & Tea, Food, Restaurants, Internet Cafes, Coffee Roasteries",Sandwiches,, Coffee , Tea, Food, Restaurants, Internet Cafes, Coffee Roasteries,,,,,,,,,,,,,,,,,
JML Landscape Management,978 Route 910,Pittsburgh,PA,15238,40.5876417,-79.883714,5,3,1,TRUE,,,,,,TRUE,"Landscape Architects, Home Services, Landscaping, Snow Removal, Local Services",Landscape Architects,, Home Services, Landscaping, Snow Removal, Local Services,,,,,,,,,,,,,,,,,,,
Fortunes Coffee Roastery,2005 Penn Ave,Pittsburgh,PA,15222,40.4514312,-79.983917,4,11,0,TRUE,2,,,,TRUE,,"Coffee & Tea, Food",Coffee ,, Tea, Food,,,,,,,,,,,,,,,,,,,,,
Grille 565,565 Lincoln Ave,Bellevue,PA,15202,40.4964748,-80.05777459,4,33,1,TRUE,2,none,free,,,,"Chicken Wings, Bars, Restaurants, American (Traditional), Nightlife",Chicken Wings,, Bars, Restaurants, American (Traditional), Nightlife,,,,,,,,,,,,,,,,,,,
Berkshire Hathaway HomeServices The Preferred Realty North Hills,9401 McKnight Rd,Pittsburgh,PA,15237,40.5769944,-80.0265905,3.5,3,1,,,,,,,,"Real Estate Agents, Home Services, Real Estate Services, Real Estate",Real Estate Agents,, Home Services, Real Estate Services, Real Estate,,,,,,,,,,,,,,,,,,,,
The Club at North Hills,700 Duncan Ave,Pittsburgh,PA,15237,40.5672119,-80.0165956,2,4,1,TRUE,,,,,,FALSE,"Apartments, Home Services, Real Estate",Apartments,, Home Services, Real Estate,,,,,,,,,,,,,,,,,,,,,
Hunan Wok,500 Pine Hollow Rd,Mc Kees Rocks,PA,15136,40.47391072,-80.09727206,3,9,1,TRUE,2,none,no,,,,"Restaurants, Chinese",Restaurants,, Chinese,,,,,,,,,,,,,,,,,,,,,,
Tiki Lounge,2003 E Carson St,Pittsburgh,PA,15203,40.4287795,-79.9773733,3,76,1,TRUE,2,full_bar,,,TRUE,,"Dance Clubs, Bars, Nightlife, Tiki Bars, Lounges",Dance Clubs,, Bars, Nightlife, Tiki Bars, Lounges,,,,,,,,,,,,,,,,,,,
Alteration World,117 E Mall Plz,Carnegie,PA,15106,40.4068265,-80.087736,4.5,11,1,FALSE,,,,,,,"Sewing & Alterations, Local Services",Sewing ,, Alterations, Local Services,,,,,,,,,,,,,,,,,,,,,
Off Street BBQ,167 Chess St,New Eagle,PA,15067,40.207876,-79.9470852,2,5,1,,2,none,,,,,"Barbeque, Restaurants, Sandwiches",Barbeque,, Restaurants, Sandwiches,,,,,,,,,,,,,,,,,,,,,
Tetyana Esthetics,2201 Ardmore Blvd,Pittsburgh,PA,15221,40.418,-79.8484835,5,3,0,TRUE,2,,,,,TRUE,"Beauty & Spas, Day Spas",Beauty ,, Spas, Day Spas,,,,,,,,,,,,,,,,,,,,,
Bellisario Pizza Shop,1842 Homeville Rd,West Mifflin,PA,15122,40.365078,-79.8701598,4,7,1,,1,none,no,,,,"Pizza, Restaurants",Pizza,, Restaurants,,,,,,,,,,,,,,,,,,,,,,
"Sean J Hayes, DC","300 Weyman Rd, Ste 270",Pittsburgh,PA,15236,40.3604615,-79.9997439,4.5,3,1,TRUE,,,,,,TRUE,"Doctors, Health & Medical, Chiropractors",Doctors,, Health , Medical, Chiropractors,,,,,,,,,,,,,,,,,,,,
Salon Dean Anthony,3145 Carson Ave,Murrysville,PA,15668,40.4270021,-79.694898,5,3,1,TRUE,,,,,,,"Beauty & Spas, Hair Salons",Beauty ,, Spas, Hair Salons,,,,,,,,,,,,,,,,,,,,,
The Brick House Tap & Grill,11232 Mckee Rd,Irwin,PA,15642,40.316603,-79.731475,3,34,1,TRUE,2,full_bar,no,,,,"Bars, Italian, American (Traditional), Nightlife, Restaurants",Bars,, Italian, American (Traditional), Nightlife, Restaurants,,,,,,,,,,,,,,,,,,,
Conforti's Pizzeria,8871 Rte 30,Irwin,PA,15642,40.3200097,-79.6843529,4.5,22,1,TRUE,2,beer_and_wine,free,FALSE,TRUE,,"Pizza, Italian, Restaurants, Food",Pizza,, Italian, Restaurants, Food,,,,,,,,,,,,,,,,,,,,
Giant Eagle,4007 Washington Rd,McMurray,PA,15317,40.26944018,-80.12698436,3,5,1,TRUE,2,,,,,,"Flowers & Gifts, Florists, Photography Stores & Services, Books, Mags, Music & Video, Grocery, Videos & Video Game Rental, Bakeries, Shopping, Food",Flowers ,, Gifts, Florists, Photography Stores , Services, Books, Mags, Music , Video, Grocery, Videos , Video Game Rental, Bakeries, Shopping, Food,,,,,,,,,
Sam's Club,2251 Century Dr,West Mifflin,PA,15122,40.3437256,-79.9490655,3,9,1,TRUE,2,,,,,,"Fashion, Tires, Shopping, Automotive, Department Stores",Fashion,, Tires, Shopping, Automotive, Department Stores,,,,,,,,,,,,,,,,,,,
Mellon Park,6300 Fifth Ave,Pittsburgh,PA,15232,40.451309,-79.919618,4.5,13,1,,,,,,,,"Active Life, Parks",Active Life,, Parks,,,,,,,,,,,,,,,,,,,,,,
Vespucci Pizza,1710 Forbes Ave,Pittsburgh,PA,15219,40.4373591,-79.9822345,2.5,18,0,TRUE,2,,,,,,"Pizza, Restaurants, Salad, Italian",Pizza,, Restaurants, Salad, Italian,,,,,,,,,,,,,,,,,,,,
Lobos Management,233 Spahr St,Pittsburgh,PA,15232,40.4578589,-79.9270906,2,14,1,TRUE,,,,,,TRUE,"Property Management, Real Estate, Home Services",Property Management,, Real Estate, Home Services,,,,,,,,,,,,,,,,,,,,,
Puffs-n-Stuff Cigars,125 W Station Square Dr,Pittsburgh,PA,15219,40.4330076,-80.0045618,4,5,1,TRUE,3,,,,TRUE,,"Shopping, Tobacco Shops",Shopping,, Tobacco Shops,,,,,,,,,,,,,,,,,,,,,,
Il Pizzaiolo,703 Washington Rd,Pittsburgh,PA,15228,40.380192,-80.044459,4,265,1,TRUE,2,full_bar,no,,TRUE,,"Pizza, Italian, Restaurants",Pizza,, Italian, Restaurants,,,,,,,,,,,,,,,,,,,,,
Posh,1725 Washington Rd,Pittsburgh,PA,15241,40.3472147,-80.0535679,4,13,1,TRUE,3,,,,TRUE,TRUE,"Beauty & Spas, Hair Salons",Beauty ,, Spas, Hair Salons,,,,,,,,,,,,,,,,,,,,,
Quaker Steak & Lube,511 Clairton Blvd,Pleasant Hills,PA,15236,40.33378673,-79.9450317,3,32,0,TRUE,2,full_bar,free,FALSE,TRUE,,"American (Traditional), Restaurants, Chicken Wings",American (Traditional),, Restaurants, Chicken Wings,,,,,,,,,,,,,,,,,,,,,
Hunan Kitchen,4554 William Penn Hwy,Murrysville,PA,15668,40.4261611,-79.6713418,4,15,1,TRUE,2,none,no,,TRUE,,"Restaurants, Chinese",Restaurants,, Chinese,,,,,,,,,,,,,,,,,,,,,,
Lou Iezzi & Sons Auto,5703 Bryant St,Pittsburgh,PA,15206,40.47642704,-79.92134188,3.5,5,1,TRUE,,,,,,,"Smog Check Stations, Towing, Body Shops, Automotive, Auto Repair, Auto Glass Services",Smog Check Stations,, Towing, Body Shops, Automotive, Auto Repair, Auto Glass Services,,,,,,,,,,,,,,,,,,
Animal Advocates Thrift Shoope,35 Wabash St,Pittsburgh,PA,15220,40.4405692,-80.0344571,3.5,8,1,TRUE,1,,,TRUE,FALSE,,"Community Service/Non-Profit, Pet Adoption, Local Services, Thrift Stores, Pets, Shopping",Community Service/Non-Profit,, Pet Adoption, Local Services, Thrift Stores, Pets, Shopping,,,,,,,,,,,,,,,,,,
Macy's,400 Monroeville Mall,Monroeville,PA,15146,40.428678,-79.793366,3.5,11,1,TRUE,2,,,,,,"Men's Clothing, Women's Clothing, Fashion, Shopping, Shoe Stores, Department Stores",Men's Clothing,, Women's Clothing, Fashion, Shopping, Shoe Stores, Department Stores,,,,,,,,,,,,,,,,,,
Angkor Restaurant,2350 Noblestown Rd,Pittsburgh,PA,15205,40.4276163,-80.0555006,4,106,1,TRUE,2,none,no,,TRUE,,"Restaurants, Cambodian, Thai",Restaurants,, Cambodian, Thai,,,,,,,,,,,,,,,,,,,,,
South Hills Brewing Supply,"2212 Noblestown Rd, Ste 6",Pittsburgh,PA,15205,40.4298811,-80.0538853,4.5,6,1,TRUE,2,,,,TRUE,,"Do-It-Yourself Food, Beer, Wine & Spirits, Tobacco Shops, Food, Shopping, Brewing Supplies",Do-It-Yourself Food,, Beer, Wine , Spirits, Tobacco Shops, Food, Shopping, Brewing Supplies,,,,,,,,,,,,,,,,
C A Property Management,1125 N Highland Ave,Pittsburgh,PA,15206,40.4748883,-79.9188657,1,7,1,,,,,,,,"Real Estate, Property Management, Home Services",Real Estate,, Property Management, Home Services,,,,,,,,,,,,,,,,,,,,,
Get Go,3247 E Carson St,Pittsburgh,PA,15203,40.4231506,-79.95997701,3.5,10,1,TRUE,1,,,,,,"Automotive, Gas Stations, Convenience Stores, Food",Automotive,, Gas Stations, Convenience Stores, Food,,,,,,,,,,,,,,,,,,,,
Evolve Massage & Wellness Center,"2101 Greentree Rd, Ste A114",Pittsburgh,PA,15220,40.3903858,-80.0708968,4.5,41,1,TRUE,2,,,,TRUE,TRUE,"Waxing, Massage, Skin Care, Beauty & Spas, Hair Removal",Waxing,, Massage, Skin Care, Beauty , Spas, Hair Removal,,,,,,,,,,,,,,,,,,
Wagner Quality Shoes,4313 Butler St,Pittsburgh,PA,15201,40.4711269,-79.9603324,4.5,6,1,TRUE,3,,,,,,"Shopping, Fashion, Shoe Stores",Shopping,, Fashion, Shoe Stores,,,,,,,,,,,,,,,,,,,,,
Pampered Peacock Day Spa,1 Alpha Dr E,Pittsburgh,PA,15238,40.541037,-79.8311717,3.5,3,1,TRUE,,,,,TRUE,TRUE,"Medical Spas, Nail Salons, Health & Medical, Skin Care, Beauty & Spas, Eyelash Service, Day Spas",Medical Spas,, Nail Salons, Health , Medical, Skin Care, Beauty , Spas, Eyelash Service, Day Spas,,,,,,,,,,,,,,,
Shop 412,420 S 27th St,Pittsburgh,PA,15203,40.4284485,-79.9655118,3.5,7,1,TRUE,3,,,,TRUE,,"Fashion, Men's Clothing, Sports Wear, Sporting Goods, Shoe Stores, Shopping, Hats",Fashion,, Men's Clothing, Sports Wear, Sporting Goods, Shoe Stores, Shopping, Hats,,,,,,,,,,,,,,,,,
Fudgie Wudgie Fudge Company,1728 Penn Ave,Pittsburgh,PA,15222,40.4499777,-79.9851733,3.5,12,0,TRUE,3,,,,,,"Specialty Food, Food, Candy Stores, Desserts",Specialty Food,, Food, Candy Stores, Desserts,,,,,,,,,,,,,,,,,,,,
Travis Towing,1427 Chartiers Ave,Pittsburgh,PA,15220,40.4501536,-80.0452848,3,4,1,TRUE,,,,,,,"Automotive, Towing",Automotive,, Towing,,,,,,,,,,,,,,,,,,,,,,
Miller Frame,6020 Centre Ave,Pittsburgh,PA,15206,40.4599915,-79.9240873,4.5,3,1,TRUE,,,,TRUE,TRUE,,"Framing, Arts & Crafts, Shopping",Framing,, Arts , Crafts, Shopping,,,,,,,,,,,,,,,,,,,,
Emiliano's Mexican Restaurant & Bar,9070 St Simon Way,Pittsburgh,PA,15237,40.571959,-80.025248,3,45,1,TRUE,2,full_bar,free,,,,"Mexican, Bars, Nightlife, Restaurants",Mexican,, Bars, Nightlife, Restaurants,,,,,,,,,,,,,,,,,,,,
Tootsie's Diner,701 5th Ave,Coraopolis,PA,15108,40.520363,-80.171706,4,59,1,TRUE,1,none,no,,,,"Diners, Salad, American (Traditional), Restaurants, Burgers, Breakfast & Brunch, Soup",Diners,, Salad, American (Traditional), Restaurants, Burgers, Breakfast , Brunch, Soup,,,,,,,,,,,,,,,,
Goldfish Swim School - Peters Township,690 Crosswinds Dr,McMurray,PA,15317,40.265141,-80.127691,4.5,6,1,TRUE,,,,,TRUE,TRUE,"Active Life, Event Planning & Services, Education, Fitness & Instruction, Specialty Schools, Swimming Lessons/Schools, Swimming Pools",Active Life,, Event Planning , Services, Education, Fitness , Instruction, Specialty Schools, Swimming Lessons/Schools, Swimming Pools,,,,,,,,,,,,,,,
Hidden Valley Animal Clinic,100 Oakhurst Dr,McMurray,PA,15317,40.2831149,-80.1227662,3,5,1,,,,,,,,"Pets, Veterinarians",Pets,, Veterinarians,,,,,,,,,,,,,,,,,,,,,,
Zoup!,1137 Freeport Rd,Pittsburgh,PA,15238,40.4877663,-79.8810425,4,16,1,TRUE,2,,free,,,,"Restaurants, Salad, Sandwiches, Soup",Restaurants,, Salad, Sandwiches, Soup,,,,,,,,,,,,,,,,,,,,
Lin's Asian Fusion,2018 E Carson St,Pittsburgh,PA,15203,40.428369,-79.9768128,3.5,101,1,TRUE,2,full_bar,no,,TRUE,,"Restaurants, Asian Fusion",Restaurants,, Asian Fusion,,,,,,,,,,,,,,,,,,,,,,
Mitchell's Tavern,4632 Centre Ave,Pittsburgh,PA,15213,40.4521041,-79.9506194,3,7,1,FALSE,1,full_bar,,,,,"Bars, Dive Bars, Nightlife",Bars,, Dive Bars, Nightlife,,,,,,,,,,,,,,,,,,,,,
Razzy Fresh,300 S Craig St,Pittsburgh,PA,15213,40.44569191,-79.9489865,4,85,1,TRUE,1,,free,,TRUE,,"Ice Cream & Frozen Yogurt, Food",Ice Cream ,, Frozen Yogurt, Food,,,,,,,,,,,,,,,,,,,,,
Style Lush Tanning and Hair Salon,5022 Noblestown Rd,Oakdale,PA,15071,40.3980372,-80.1854556,5,3,1,TRUE,,,,,TRUE,FALSE,"Tanning, Nail Salons, Hair Salons, Beauty & Spas, Tanning Beds",Tanning,, Nail Salons, Hair Salons, Beauty , Spas, Tanning Beds,,,,,,,,,,,,,,,,,,
Shady Acres Saddlery,595 Dorseyville Rd,Pittsburgh,PA,15238,40.5366616,-79.9133059,5,3,1,,,,,,,,"Shopping, Horse Equipment Shops, Fashion",Shopping,, Horse Equipment Shops, Fashion,,,,,,,,,,,,,,,,,,,,,
East Carson Fitness,2504 E Carson St,Pittsburgh,PA,15203,40.4276048,-79.9696714,2.5,3,1,,,,,,,,"Gyms, Active Life, Fitness & Instruction",Gyms,, Active Life, Fitness , Instruction,,,,,,,,,,,,,,,,,,,,
Milkman Brewing,"2517 Penn Ave, Ste 3",Pittsburgh,PA,15222,40.454451,-79.97954,4.5,5,0,TRUE,1,,,,,,"Breweries, Food",Breweries,, Food,,,,,,,,,,,,,,,,,,,,,,
Primanti Bros,830 Clairton Blvd,Pittsburgh,PA,15236,40.323927,-79.9438113,3.5,71,1,TRUE,2,full_bar,free,,TRUE,,"Sandwiches, Sports Bars, Restaurants, Nightlife, American (New), Bars",Sandwiches,, Sports Bars, Restaurants, Nightlife, American (New), Bars,,,,,,,,,,,,,,,,,,
Speedy Furniture - Irwin,"12120 US 30, Ste 180",Irwin,PA,15642,40.3314636,-79.743048,5,4,1,TRUE,1,,,,,,"Home Decor, Shopping, Home & Garden, Mattresses, Furniture Stores",Home Decor,, Shopping, Home , Garden, Mattresses, Furniture Stores,,,,,,,,,,,,,,,,,,
Frick Environmental Center,2005 Beechwood Blvd,Pittsburgh,PA,15217,40.4359686,-79.9090817,3,4,1,,,,,,TRUE,,"Active Life, Venues & Event Spaces, Parks, Community Centers, Summer Camps, Event Planning & Services, Public Services & Government, Education",Active Life,, Venues , Event Spaces, Parks, Community Centers, Summer Camps, Event Planning , Services, Public Services , Government, Education,,,,,,,,,,,,,
Samson Garage Doors,,Pittsburgh,PA,15217,40.4327086,-79.9248669,5,4,1,TRUE,,,,,,TRUE,"Professional Services, Home Services, Fences & Gates, Door Sales/Installation, Garage Door Services",Professional Services,, Home Services, Fences , Gates, Door Sales/Installation, Garage Door Services,,,,,,,,,,,,,,,,,,
Duquesne Light Company,411 7th Ave,Pittsburgh,PA,15219,40.4428627,-79.996412,1,32,1,TRUE,,,,,,TRUE,"Home Services, Electricians",Home Services,, Electricians,,,,,,,,,,,,,,,,,,,,,,
Luxury Nails,5430 Centre Ave,Pittsburgh,PA,15232,40.455893,-79.9373422,2.5,28,1,TRUE,2,,,,,FALSE,"Nail Salons, Day Spas, Waxing, Eyelash Service, Beauty & Spas, Hair Removal",Nail Salons,, Day Spas, Waxing, Eyelash Service, Beauty , Spas, Hair Removal,,,,,,,,,,,,,,,,,
Lewis Hair Salon,813 South Aiken St,Pittsburgh,PA,15232,40.4505451,-79.935342,4.5,35,1,TRUE,2,,,,TRUE,FALSE,"Hair Salons, Beauty & Spas, Hair Removal, Nail Salons",Hair Salons,, Beauty , Spas, Hair Removal, Nail Salons,,,,,,,,,,,,,,,,,,,
My Big Fat Greek Gyro,"2001 Lincoln Hwy, Ste 7",White Oak,PA,15131,40.335357,-79.804008,3.5,3,0,TRUE,2,none,no,,,,"Restaurants, Greek",Restaurants,, Greek,,,,,,,,,,,,,,,,,,,,,,
Dunkin' Donuts,3200 Clairton Blvd,Brentwood,PA,15227,40.37628033,-79.98410119,3,7,1,TRUE,1,,free,,,,"Coffee & Tea, Restaurants, Breakfast & Brunch, Food, Desserts, Donuts",Coffee ,, Tea, Restaurants, Breakfast , Brunch, Food, Desserts, Donuts,,,,,,,,,,,,,,,,
"Ladeda Fish, Chicken & Gyro",1756 Greensburg Pike,North Versailles,PA,15137,40.38749388,-79.82172187,4,14,1,TRUE,1,none,,,,,"Sandwiches, Fish & Chips, Chicken Wings, Restaurants, Mediterranean",Sandwiches,, Fish , Chips, Chicken Wings, Restaurants, Mediterranean,,,,,,,,,,,,,,,,,,
Johnny's Diner,1900 Woodville Ave,Pittsburgh,PA,15220,40.433881,-80.031424,4,20,1,FALSE,1,none,no,,,,"Restaurants, Diners",Restaurants,, Diners,,,,,,,,,,,,,,,,,,,,,,
Bruegger's Bagels,3527 Washington Rd,McMurray,PA,15317,40.2833952,-80.1208067,4,5,0,TRUE,1,none,,,FALSE,,"Food, Bagels, Sandwiches, Restaurants, Breakfast & Brunch",Food,, Bagels, Sandwiches, Restaurants, Breakfast , Brunch,,,,,,,,,,,,,,,,,,
First National Bank of Pennsylvania,1712 E Carson St,Pittsburgh,PA,15203,40.4285697,-79.9815774,2.5,3,1,,,,,,,,"Financial Services, Banks & Credit Unions",Financial Services,, Banks , Credit Unions,,,,,,,,,,,,,,,,,,,,,
Sunoco,2000 Eastern Ave,Verona,PA,15147,40.521097,-79.813334,3.5,3,1,TRUE,,,,,,,"Gas Stations, Automotive",Gas Stations,, Automotive,,,,,,,,,,,,,,,,,,,,,,
Garage Door Saloon,223 Atwood St,Pittsburgh,PA,15213,40.4406181,-79.9569053,3,34,1,TRUE,1,full_bar,free,FALSE,TRUE,,"Pizza, Cocktail Bars, Restaurants, Dive Bars, Nightlife, Sports Bars, Bars",Pizza,, Cocktail Bars, Restaurants, Dive Bars, Nightlife, Sports Bars, Bars,,,,,,,,,,,,,,,,,
Lowe's Home Improvement,1025 Mountain View Dr,West Mifflin,PA,15122,40.3462312,-79.948579,2.5,8,1,TRUE,2,,,,,FALSE,"Shopping, Home Organization, Lighting Fixtures & Equipment, Home Services, Home & Garden, Appliances, Building Supplies",Shopping,, Home Organization, Lighting Fixtures , Equipment, Home Services, Home , Garden, Appliances, Building Supplies,,,,,,,,,,,,,,,
Pittsburgh Public Market,2401 Penn Ave,Pittsburgh,PA,15222,40.4538071,-79.9804811,4,59,0,TRUE,2,,,,TRUE,,"Restaurants, Farmers Market, Food",Restaurants,, Farmers Market, Food,,,,,,,,,,,,,,,,,,,,,
