NAME,ADDRESS,CITY,STATE,ZIPCODE,LAT,LONG,STARS,REVIEW_COUNT,IS_OPEN,ACCEPTS_CREDITCARD,PRICE_RANGE,ALCOHOL,WIFI,DOGS_ALLOWED,WHEELCHAIR_ACCESS,APPOINTMENT_ONLY,CATEGORIES,CATEGORY1,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5,CATEGORY6,CATEGORY7,CATEGORY8,CATEGORY9,CATEGORY10,CATEGORY11,CATEGORY12,CATEGORY13,CATEGORY14,CATEGORY15,CATEGORY16,,,,
Z Pizza & Sushi,12591 US 30,Irwin,PA,15642,40.33789215,-79.74671155,3,4,0,TRUE,,,free,,TRUE,,"Pizza, Restaurants, Sushi Bars, Sandwiches, Chicken Wings",Pizza, Restaurants, Sushi Bars, Sandwiches, Chicken Wings,,,,,,,,,,,,,,,
Applebee's Grill + Bar,"1601 S Braddock Ave, Edgewood Towne Centre",Pittsburgh,PA,15218,40.426319,-79.888904,3,26,1,TRUE,2,full_bar,free,,TRUE,,"Bars, Sports Bars, Burgers, Nightlife, Restaurants, Steakhouses, American (Traditional)",Bars, Sports Bars, Burgers, Nightlife, Restaurants, Steakhouses, American (Traditional),,,,,,,,,,,,,
Marisqueira Mediterranean Bistro,226 Commercial Ave,Aspinwall,PA,15215,40.4901919,-79.9044419,3.5,43,0,TRUE,2,full_bar,,,,,"Seafood, Restaurants, Mediterranean, Portuguese",Seafood, Restaurants, Mediterranean, Portuguese,,,,,,,,,,,,,,,,
Chipotle Mexican Grill,509 Clairton Blvd,Pittsburgh,PA,15236,40.336494,-79.945526,2.5,37,1,TRUE,1,none,no,,,,"Fast Food, Mexican, Restaurants",Fast Food, Mexican, Restaurants,,,,,,,,,,,,,,,,,
Subway,700 Forbes Ave,Pittsburgh,PA,15219,40.438207,-79.992264,3,4,1,,,,,,,,"Fast Food, Sandwiches, Restaurants",Fast Food, Sandwiches, Restaurants,,,,,,,,,,,,,,,,,
Panera Bread,3800 Forbes Ave,Pittsburgh,PA,15213,40.44162039,-79.9566856,3,48,1,TRUE,1,none,free,,TRUE,,"Delis, Soup, Salad, Bagels, Sandwiches, Bakeries, Breakfast & Brunch, Food, Restaurants, Coffee & Tea",Delis, Soup, Salad, Bagels, Sandwiches, Bakeries, Breakfast , Brunch, Food, Restaurants, Coffee , Tea,,,,,,,,
Herk's Pizza,1917 E Railroad St,Heidelberg,PA,15106,40.38852,-80.089117,4.5,12,0,TRUE,2,none,,,,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Frankie's Extra Long,3535 Butler St,Pittsburgh,PA,15201,40.4649905,-79.9658521,4.5,23,1,FALSE,1,none,no,,TRUE,,"Sandwiches, Restaurants",Sandwiches, Restaurants,,,,,,,,,,,,,,,,,,
Riggs Lounge & Restaurant,1208 Brighton Rd,Pittsburgh,PA,15233,40.4553061,-80.0150178,4.5,7,1,FALSE,1,full_bar,,,,,"Bars, Restaurants, Dive Bars, Nightlife",Bars, Restaurants, Dive Bars, Nightlife,,,,,,,,,,,,,,,,
Fiori's Pizzaria,103 Capital Ave,Pittsburgh,PA,15226,40.405245,-80.018538,4.5,273,1,TRUE,1,none,no,FALSE,FALSE,,"Italian, Restaurants, Pizza",Italian, Restaurants, Pizza,,,,,,,,,,,,,,,,,
Zen's Noodle House,3531 Forbes Ave,Pittsburgh,PA,15213,40.4405187,-79.9585673,4,63,1,TRUE,1,none,free,,,,"Restaurants, Japanese, Noodles, Ramen",Restaurants, Japanese, Noodles, Ramen,,,,,,,,,,,,,,,,
TJ Buffet Sushi and Grill,4801 McKnight Rd,Pittsburgh,PA,15237,40.52265051,-80.00647981,3,38,0,TRUE,1,full_bar,no,,,,"Japanese, Buffets, Restaurants, Sushi Bars, Chinese",Japanese, Buffets, Restaurants, Sushi Bars, Chinese,,,,,,,,,,,,,,,
Totin's Diner,10283 Perry Hwy,Wexford,PA,15090,40.6026018,-80.0500627,4,116,1,TRUE,2,none,free,,TRUE,,"Diners, Restaurants",Diners, Restaurants,,,,,,,,,,,,,,,,,,
Antonio's Pizzeria,758 Brookline Blvd,Pittsburgh,PA,15226,40.3936036,-80.0201875,3.5,27,1,TRUE,1,none,,,,,"Pizza, Food, Desserts, Restaurants, Salad",Pizza, Food, Desserts, Restaurants, Salad,,,,,,,,,,,,,,,
V3 Flatbread Pizza,4500 Butler St,Pittsburgh,PA,15201,40.4720775,-79.9590106,3.5,34,1,TRUE,1,,,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Streets On Carson,1120 E Carson St,Pittsburgh,PA,15203,40.42860609,-79.98663213,4.5,110,1,TRUE,2,full_bar,free,,TRUE,,"Food, Cocktail Bars, Desserts, French, Tapas/Small Plates, Sandwiches, Restaurants, Bars, Nightlife",Food, Cocktail Bars, Desserts, French, Tapas/Small Plates, Sandwiches, Restaurants, Bars, Nightlife,,,,,,,,,,,
King's Family Restaurant,4900 Steubenville Pike,Pittsburgh,PA,15205,40.4495645,-80.106423,3,12,0,TRUE,1,none,no,,TRUE,,"Restaurants, Breakfast & Brunch, American (Traditional), Diners",Restaurants, Breakfast , Brunch, American (Traditional), Diners,,,,,,,,,,,,,,,
China Max,1000 Ross Park Mall Dr,Pittsburgh,PA,15237,40.5428252,-80.0075487,2.5,8,1,TRUE,1,none,,,,,"Chinese, Restaurants",Chinese, Restaurants,,,,,,,,,,,,,,,,,,
Block 292,292 Beverly Rd,Pittsburgh,PA,15216,40.38907896,-80.04952792,3.5,61,0,TRUE,2,full_bar,free,,TRUE,,"Butcher, Food, Restaurants, Cafes",Butcher, Food, Restaurants, Cafes,,,,,,,,,,,,,,,,
Dragon Chinese Restaurant,140 Allegheny River Blvd,Verona,PA,15147,40.49858972,-79.84477024,4,10,1,TRUE,1,none,no,,,,"Chinese, Restaurants",Chinese, Restaurants,,,,,,,,,,,,,,,,,,
North Hills Grill,"96 Rochester Rd, 1st floor",Pittsburgh,PA,15229,40.520825,-80.026023,4.5,39,0,TRUE,1,none,free,FALSE,TRUE,,"Sandwiches, Restaurants, Burgers, Food, Juice Bars & Smoothies, Salad",Sandwiches, Restaurants, Burgers, Food, Juice Bars , Smoothies, Salad,,,,,,,,,,,,,
Parkway Tavern,4733 William Penn Hgwy,Monroeville,PA,15146,40.432159,-79.7300601,3.5,6,0,TRUE,2,full_bar,,,,,"Pizza, Restaurants, Nightlife, Bars, American (Traditional)",Pizza, Restaurants, Nightlife, Bars, American (Traditional),,,,,,,,,,,,,,,
The Gyro Place,148 W Pike St,Canonsburg,PA,15317,40.2585811,-80.190412,4.5,14,1,TRUE,2,none,free,,TRUE,,"Restaurants, Greek, American (Traditional)",Restaurants, Greek, American (Traditional),,,,,,,,,,,,,,,,,
Eggs-R-Us,"2350 Noblestown Rd, Ste 13",Pittsburgh,PA,15205,40.4276163,-80.0555006,4,102,1,TRUE,1,none,no,,,,"Restaurants, Breakfast & Brunch",Restaurants, Breakfast , Brunch,,,,,,,,,,,,,,,,,
Pizza Cono,5819 Forbes Ave,Pittsburgh,PA,15217,40.4381171,-79.9222802,3.5,44,0,TRUE,1,none,free,,TRUE,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Remedy Restaurant and Lounge,5121 Butler St,Pittsburgh,PA,15201,40.479006,-79.955536,3.5,56,1,TRUE,1,full_bar,free,,FALSE,,"American (New), Dive Bars, Bars, Restaurants, Nightlife",American (New), Dive Bars, Bars, Restaurants, Nightlife,,,,,,,,,,,,,,,
Umami,202 38th St,Pittsburgh,PA,15201,40.4667762,-79.964211,4,192,1,TRUE,2,full_bar,free,,,,"Restaurants, Nightlife, Bars, Japanese, Sushi Bars",Restaurants, Nightlife, Bars, Japanese, Sushi Bars,,,,,,,,,,,,,,,
La Gourmandine Bakery,308 Forbes Ave,Pittsburgh,PA,15222,40.43985307,-80.0005891,5,12,1,TRUE,1,none,free,,,,"Restaurants, Breakfast & Brunch, Bakeries, Cafes, Patisserie/Cake Shop, Food",Restaurants, Breakfast , Brunch, Bakeries, Cafes, Patisserie/Cake Shop, Food,,,,,,,,,,,,,
Fired Up Pizza Plus,9740 Broadway St,Irwin,PA,15642,40.3306084,-79.6933787,4,5,0,,,,,,,,"Italian, Pizza, Restaurants, Chicken Wings, Steakhouses",Italian, Pizza, Restaurants, Chicken Wings, Steakhouses,,,,,,,,,,,,,,,
McDonald's,2090 Lebanon Church Rd,West Mifflin,PA,15122,40.3479004,-79.94530625,2.5,6,1,TRUE,1,,free,,,,"Coffee & Tea, Burgers, Fast Food, Restaurants, Food",Coffee , Tea, Burgers, Fast Food, Restaurants, Food,,,,,,,,,,,,,,
The Rose Bar & Grille,2811 Lincoln Way,McKeesport,PA,15131,40.32399407,-79.78314634,2.5,6,1,,,,,,,,"American (Traditional), Sandwiches, Nightlife, Restaurants, Bars",American (Traditional), Sandwiches, Nightlife, Restaurants, Bars,,,,,,,,,,,,,,,
Soju,4923 Penn Ave,Pittsburgh,PA,15224,40.46536,-79.94431,4,35,1,TRUE,2,full_bar,no,FALSE,TRUE,,"Asian Fusion, Bars, American (Traditional), Restaurants, Korean, Nightlife",Asian Fusion, Bars, American (Traditional), Restaurants, Korean, Nightlife,,,,,,,,,,,,,,
Inn Place Restaurant,7958 Steubenville Pike,Imperial,PA,15126,40.4416017,-80.2341418,3.5,7,1,TRUE,4,,,,,,Restaurants,Restaurants,,,,,,,,,,,,,,,,,,,
E2,5904 Bryant St,Pittsburgh,PA,15206,40.475437,-79.919706,4,214,0,TRUE,2,none,no,,FALSE,,"Tapas/Small Plates, American (Traditional), Mediterranean, Italian, Restaurants",Tapas/Small Plates, American (Traditional), Mediterranean, Italian, Restaurants,,,,,,,,,,,,,,,
Thai & Noodle Outlet,5813 Forbes Ave,Pittsburgh,PA,15217,40.4382434,-79.92227,3.5,61,1,TRUE,2,none,no,,,,"Noodles, Desserts, Food, Thai, Restaurants",Noodles, Desserts, Food, Thai, Restaurants,,,,,,,,,,,,,,,
Garden View Cafe,300 Halket St,Pittsburgh,PA,15213,40.44432,-79.95492,3.5,3,1,TRUE,1,,free,,,,"Restaurants, Coffee & Tea, Food, Cafes",Restaurants, Coffee , Tea, Food, Cafes,,,,,,,,,,,,,,,
Shogun Japanese Steak House,8 Tech Center Dr,Monroeville,PA,15146,40.4325961,-79.7832047,3,30,1,TRUE,3,full_bar,,,TRUE,,"Japanese, Restaurants",Japanese, Restaurants,,,,,,,,,,,,,,,,,,
California Coffee Bar,3619 California Ave,Pittsburgh,PA,15212,40.4807205,-80.0415143,4.5,30,1,TRUE,1,none,free,,,,"Food, Juice Bars & Smoothies, Breakfast & Brunch, Sandwiches, Coffee & Tea, Restaurants",Food, Juice Bars , Smoothies, Breakfast , Brunch, Sandwiches, Coffee , Tea, Restaurants,,,,,,,,,,,
China Buffet King,2249 Noblestown Rd,Pittsburgh,PA,15205,40.428485,-80.0525261,2.5,32,1,TRUE,1,none,no,,,,"Chinese, Buffets, Restaurants",Chinese, Buffets, Restaurants,,,,,,,,,,,,,,,,,
Mekong Restaurant,1429 Potomac Ave,Pittsburgh,PA,15216,40.3957392,-80.0348476,3.5,62,1,TRUE,2,none,free,,FALSE,,"Asian Fusion, Chinese, Soup, Vietnamese, Restaurants",Asian Fusion, Chinese, Soup, Vietnamese, Restaurants,,,,,,,,,,,,,,,
KFC,3770 William Penn Hwy,Monroeville,PA,15146,40.4358,-79.7858,3,3,1,,,,free,,,,"Fast Food, Chicken Wings, Restaurants, Chicken Shop",Fast Food, Chicken Wings, Restaurants, Chicken Shop,,,,,,,,,,,,,,,,
Pizza Taglio,126 S Highland Ave,Pittsburgh,PA,15206,40.4603426,-79.9250006,4.5,121,1,TRUE,2,none,free,,TRUE,,"Food, Specialty Food, Italian, Restaurants, Pizza, Local Flavor",Food, Specialty Food, Italian, Restaurants, Pizza, Local Flavor,,,,,,,,,,,,,,
Crabs R Us,764 Penn Ave,Pittsburgh,PA,15221,40.4430768,-79.8829332,4,10,1,TRUE,2,,,,,,"Chicken Wings, Seafood, Restaurants, Fish & Chips",Chicken Wings, Seafood, Restaurants, Fish , Chips,,,,,,,,,,,,,,,
Legends Eatery,500 E N Ave,Pittsburgh,PA,15212,40.4566092,-80.0015054,4,138,1,TRUE,2,none,free,TRUE,TRUE,,"Salad, Gluten-Free, Restaurants, Desserts, Caterers, Seafood, Food, American (New), Italian, Event Planning & Services",Salad, Gluten-Free, Restaurants, Desserts, Caterers, Seafood, Food, American (New), Italian, Event Planning , Services,,,,,,,,,
Stagioni,2104 E Carson St,Pittsburgh,PA,15203,40.4282783,-79.9760162,4,117,1,TRUE,2,full_bar,no,FALSE,TRUE,,"Pizza, Restaurants, Italian, Nightlife, Wine Bars, Event Planning & Services, Bars, Breakfast & Brunch, Venues & Event Spaces",Pizza, Restaurants, Italian, Nightlife, Wine Bars, Event Planning , Services, Bars, Breakfast , Brunch, Venues , Event Spaces,,,,,,,,
Tootie's Famous Italian Beef,93 S 16th St,Pittsburgh,PA,15203,40.42868,-79.9826714,4,105,1,TRUE,1,none,no,FALSE,FALSE,,"Sandwiches, Fast Food, Event Planning & Services, Caterers, Italian, Restaurants, Cheesesteaks, Salad, American (Traditional)",Sandwiches, Fast Food, Event Planning , Services, Caterers, Italian, Restaurants, Cheesesteaks, Salad, American (Traditional),,,,,,,,,,
Jimmy Z's Pizza,12 W Pike St,Houston,PA,15342,40.2497894,-80.210018,3.5,15,1,TRUE,1,,,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Nick's Place,1276 Benton Ave,Pittsburgh,PA,15212,40.4847018,-80.0355297,3.5,12,1,TRUE,2,none,no,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
The Dor-Stop Restaurant,1430 Potomac Ave,Pittsburgh,PA,15216,40.395941,-80.034821,4,373,1,TRUE,1,none,no,FALSE,TRUE,,"Breakfast & Brunch, Diners, American (Traditional), Restaurants",Breakfast , Brunch, Diners, American (Traditional), Restaurants,,,,,,,,,,,,,,,
McDonald's,225 Mount Lebanon Blvd,Castle Shannon,PA,15234,40.36861414,-80.03783895,2,4,1,TRUE,1,none,free,,,,"Food, Coffee & Tea, Fast Food, Restaurants, Burgers",Food, Coffee , Tea, Fast Food, Restaurants, Burgers,,,,,,,,,,,,,,
Papa Rocks,4512 Broadway Blvd,Monroeville,PA,15146,40.3929809,-79.7664361,3.5,27,1,TRUE,2,full_bar,no,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Jac's Cafe,1975 Lincoln Way,White Oak,PA,15131,40.3393343,-79.810269,2.5,9,1,,,,,,,,"American (Traditional), Comfort Food, Diners, Restaurants",American (Traditional), Comfort Food, Diners, Restaurants,,,,,,,,,,,,,,,,
Villa Fresh Italian Kitchen,1000 Ross Park Mall Dr,Pittsburgh,PA,15237,40.5445585,-80.0087394,2,5,1,TRUE,1,,no,,,,"Italian, Restaurants, Pizza",Italian, Restaurants, Pizza,,,,,,,,,,,,,,,,,
Romano's Pizza & Cafe,223 4th St,Irwin,PA,15642,40.33187508,-79.70982471,3.5,5,0,TRUE,2,none,free,FALSE,TRUE,,"Pizza, Italian, Restaurants",Pizza, Italian, Restaurants,,,,,,,,,,,,,,,,,
Sam's Market,1712 5th Ave,Pittsburgh,PA,15219,40.4382859,-79.9821033,5,4,1,TRUE,2,,,,,,"Sandwiches, Restaurants",Sandwiches, Restaurants,,,,,,,,,,,,,,,,,,
Holy Guacamole ,5750 Ellsworth Ave,Pittsburgh,PA,15232,40.45697467,-79.93203578,4,33,0,TRUE,2,full_bar,no,,TRUE,,"Restaurants, Mexican",Restaurants, Mexican,,,,,,,,,,,,,,,,,,
Cecelia's Pizza Kitchen,630 Allegheny River Blvd,Verona,PA,15147,40.504564,-79.8434867,3.5,10,0,TRUE,1,none,no,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Silk Pagoda Restaurant,4070 Beechwood Blvd,Pittsburgh,PA,15217,40.4274093,-79.9382045,3,14,0,TRUE,2,full_bar,,,TRUE,,"Chinese, Restaurants",Chinese, Restaurants,,,,,,,,,,,,,,,,,,
Brrats Deli,1703 Monongahela Ave,Swissvale,PA,15218,40.4235144,-79.8911308,4.5,6,1,TRUE,1,none,,,,,"Restaurants, Delis",Restaurants, Delis,,,,,,,,,,,,,,,,,,
Courthouse Tavern,310 Forbes Ave,Pittsburgh,PA,15222,40.4397663,-80.0004518,2.5,19,1,TRUE,2,full_bar,,,TRUE,,"Burgers, Restaurants",Burgers, Restaurants,,,,,,,,,,,,,,,,,,
Pizza Pavilion,4800 Kennywood Blvd,West Mifflin,PA,15122,40.3878426,-79.8645927,3,3,1,,,,,,,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Pasquale's Pizzeria,6221 Saltsburg Rd,Penn Hills,PA,15235,40.4846959,-79.8158713,3.5,10,1,,,,,,,,"Italian, Restaurants, Pizza",Italian, Restaurants, Pizza,,,,,,,,,,,,,,,,,
Beta Bites,338 S Bouquet St,Pittsburgh,PA,15213,40.4400241,-79.9532523,4,64,1,TRUE,1,none,free,FALSE,TRUE,,"Sandwiches, Pizza, Mediterranean, American (New), Restaurants, Seafood, American (Traditional), Moroccan",Sandwiches, Pizza, Mediterranean, American (New), Restaurants, Seafood, American (Traditional), Moroccan,,,,,,,,,,,,
Bishop's Pizza III,1416 Lincoln Hwy,North Versailles,PA,15137,40.3743561,-79.7963758,4.5,6,1,FALSE,2,,,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Red Tea House,1717 Cochran Rd,Pittsburgh,PA,15220,40.39183846,-80.06704709,4,60,1,TRUE,2,none,no,,,,"Sushi Bars, Restaurants, Chinese",Sushi Bars, Restaurants, Chinese,,,,,,,,,,,,,,,,,
Picasso Pizza & Pasta,1770 Pine Hollow Rd,Kennedy Township,PA,15136,40.47644535,-80.10076104,4,18,1,TRUE,2,none,free,,TRUE,,"Pasta Shops, Pizza, Restaurants, Specialty Food, Food, Salad, Mediterranean, Italian",Pasta Shops, Pizza, Restaurants, Specialty Food, Food, Salad, Mediterranean, Italian,,,,,,,,,,,,
Yuva India Kitchen + Bar,412 S Craig St,Pittsburgh,PA,15213,40.4448167,-79.9489713,3,116,1,TRUE,2,full_bar,free,,TRUE,,"Food, Wineries, Indian, Restaurants, Arts & Entertainment, Bars, Food Delivery Services, Pakistani, Nightlife, Halal",Food, Wineries, Indian, Restaurants, Arts , Entertainment, Bars, Food Delivery Services, Pakistani, Nightlife, Halal,,,,,,,,,
Badamo's Pizza,1106 Federal St,Pittsburgh,PA,15212,40.45580353,-80.00658983,4.5,29,1,TRUE,2,none,,,,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Sandpresso,1125 Penn Ave,Pittsburgh,PA,15222,40.4455125,-79.9932478,4,5,0,,,none,,,,,"Food, Sandwiches, Restaurants, Coffee & Tea",Food, Sandwiches, Restaurants, Coffee , Tea,,,,,,,,,,,,,,,
Primanti Bros,4501 Steubenville Pike,Pittsburgh,PA,15205,40.4444063,-80.0994699,3.5,128,1,TRUE,1,full_bar,free,,,,"Sandwiches, Restaurants, Local Flavor, Food, Bars, American (New), Sports Bars, Nightlife",Sandwiches, Restaurants, Local Flavor, Food, Bars, American (New), Sports Bars, Nightlife,,,,,,,,,,,,
Mm Mm Pizza,2971 S Park Rd,Bethel Park,PA,15102,40.3271558,-80.041877,4,14,1,TRUE,1,none,no,,FALSE,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Police Station Pizza,7235 Steubenville Pike,Oakdale,PA,15071,40.4428283,-80.1862933,3,9,0,TRUE,1,none,no,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Franktuary,325 Oliver Ave,Pittsburgh,PA,15222,40.4411888,-79.9988332,3.5,69,0,TRUE,1,none,free,,TRUE,,"Vegetarian, Hot Dogs, Restaurants",Vegetarian, Hot Dogs, Restaurants,,,,,,,,,,,,,,,,,
Lulu's Noodles,400 S Craig St,Pittsburgh,PA,15213,40.445131,-79.9490568,3,373,1,TRUE,1,none,no,,TRUE,,"Vegetarian, Japanese, Noodles, Korean, Chinese, Pan Asian, Restaurants",Vegetarian, Japanese, Noodles, Korean, Chinese, Pan Asian, Restaurants,,,,,,,,,,,,,
Colonia,54 21st St,Pittsburgh,PA,15222,40.4520554,-79.9837546,3.5,4,1,,,,,,,,"Latin American, Restaurants",Latin American, Restaurants,,,,,,,,,,,,,,,,,,
Smallman Galley,54 21st St,Pittsburgh,PA,15222,40.4521777,-79.9837408,4.5,426,1,TRUE,2,full_bar,free,,TRUE,,"Restaurants, Bars, Food, American (Traditional), Coffee & Tea, American (New), Nightlife",Restaurants, Bars, Food, American (Traditional), Coffee , Tea, American (New), Nightlife,,,,,,,,,,,,
De Fer Coffee & Tea,2002 Smallman St,Pittsburgh,PA,15222,40.45179927,-79.98445766,4.5,28,1,TRUE,2,full_bar,free,,TRUE,,"Coffee Roasteries, Coffee & Tea, Food, Desserts, Restaurants, Bars, Patisserie/Cake Shop, Nightlife, Cafes, Cocktail Bars",Coffee Roasteries, Coffee , Tea, Food, Desserts, Restaurants, Bars, Patisserie/Cake Shop, Nightlife, Cafes, Cocktail Bars,,,,,,,,,
China Palace of Wexford,"10441 Perry Hwy, Ste 12",Wexford,PA,15090,40.6068339,-80.0525208,3.5,37,1,TRUE,2,full_bar,no,FALSE,,,"Soup, Sushi Bars, Restaurants, Chinese",Soup, Sushi Bars, Restaurants, Chinese,,,,,,,,,,,,,,,,
Jacksons Restaurant + Bar,1000 Corporate Dr,Canonsburg,PA,15317,40.299952,-80.175866,3.5,42,1,TRUE,2,full_bar,free,,TRUE,,"Restaurants, Nightlife, Bars, American (New), American (Traditional)",Restaurants, Nightlife, Bars, American (New), American (Traditional),,,,,,,,,,,,,,,
A'Pizza Badamo,656 Washington Rd,Mount Lebanon,PA,15228,40.3810792,-80.044593,4,112,1,TRUE,1,none,no,,,,"Pizza, Sandwiches, Restaurants",Pizza, Sandwiches, Restaurants,,,,,,,,,,,,,,,,,
Jo Jo's Restaurant,100 24th St,Pittsburgh,PA,15222,40.4540368,-79.9814643,3.5,19,0,FALSE,1,none,,,TRUE,,"Restaurants, American (Traditional)",Restaurants, American (Traditional),,,,,,,,,,,,,,,,,,
McCormick & Schmick's Seafood & Steaks,2667 Sidney St,Pittsburgh,PA,15203,40.42813771,-79.96648065,3,131,1,TRUE,2,full_bar,free,,TRUE,,"Restaurants, Seafood, Steakhouses, American (Traditional)",Restaurants, Seafood, Steakhouses, American (Traditional),,,,,,,,,,,,,,,,
Hookah Bookah,2506 E Carson St,Pittsburgh,PA,15203,40.4275711,-79.9695393,3,26,1,TRUE,2,none,free,FALSE,TRUE,,"Nightlife, Food, Coffee & Tea, Hookah Bars, Restaurants, Middle Eastern, Bars",Nightlife, Food, Coffee , Tea, Hookah Bars, Restaurants, Middle Eastern, Bars,,,,,,,,,,,,
Grande Italian Restaurant,4205 Washington Rd,McMurray,PA,15317,40.26187609,-80.13350226,3,20,1,TRUE,1,full_bar,free,FALSE,TRUE,,"Italian, Pizza, Restaurants",Italian, Pizza, Restaurants,,,,,,,,,,,,,,,,,
Capstone Grill,4050 Washington Rd,McMurray,PA,15317,40.2672847,-80.1293499,3.5,31,1,TRUE,2,full_bar,no,,TRUE,,Restaurants,Restaurants,,,,,,,,,,,,,,,,,,,
Atria's - Norwin,"8865 Norwin Ave, Ste 30",Irwin,PA,15642,40.3171336,-79.6945208,3.5,14,1,TRUE,2,,free,,,,"Italian, Nightlife, Salad, Caterers, Breakfast & Brunch, Event Planning & Services, Restaurants, Bars, American (Traditional)",Italian, Nightlife, Salad, Caterers, Breakfast , Brunch, Event Planning , Services, Restaurants, Bars, American (Traditional),,,,,,,,,
The Pub Chip Shop,1830 E Carson St,Pittsburgh,PA,15203,40.4284659,-79.9793686,4.5,216,1,TRUE,1,none,paid,FALSE,,,"Restaurants, American (New), British, Breakfast & Brunch, Food, Seafood, Fish & Chips, Bakeries",Restaurants, American (New), British, Breakfast , Brunch, Food, Seafood, Fish , Chips, Bakeries,,,,,,,,,,
New China Inn,4609 Centre Ave,Pittsburgh,PA,15213,40.4521842,-79.9516999,2.5,24,1,TRUE,1,none,no,,,,"Chinese, Restaurants",Chinese, Restaurants,,,,,,,,,,,,,,,,,,
Lampert's Fine Meats and Deli,2010 Eden Park Blvd,McKeesport,PA,15132,40.342695,-79.829092,3,5,1,TRUE,,none,,,,,"Butcher, Delis, Restaurants, Food",Butcher, Delis, Restaurants, Food,,,,,,,,,,,,,,,,
Antojitos Mexican Restaurant,3003 5th Ave,McKeesport,PA,15132,40.3599568,-79.8306622,3.5,12,0,TRUE,2,none,no,,TRUE,,"Mexican, Restaurants",Mexican, Restaurants,,,,,,,,,,,,,,,,,,
Sauce Pot,807 5th Ave,Coraopolis,PA,15108,40.5198174,-80.1698987,4.5,6,1,FALSE,2,none,no,,,,"American (Traditional), Restaurants",American (Traditional), Restaurants,,,,,,,,,,,,,,,,,,
Sbarro Restaurant,"5TH Ave Pl, Ste 213",Pittsburgh,PA,15222,40.4475255,-79.9933976,2.5,3,1,TRUE,2,,,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
Big Jim's Roadhouse,10 Cecil Henderson Rd,Hendersonville,PA,15339,40.2999524,-80.15247345,3.5,16,1,TRUE,2,full_bar,no,,,,"Restaurants, American (Traditional)",Restaurants, American (Traditional),,,,,,,,,,,,,,,,,,
Dancing Crab Thai Noodle House,2126 E Carson St,Pittsburgh,PA,15203,40.428173,-79.975133,4.5,89,1,TRUE,2,none,no,,TRUE,,"Thai, Restaurants",Thai, Restaurants,,,,,,,,,,,,,,,,,,
Pittzarella,1302 E Carson St,Pittsburgh,PA,15203,40.42886259,-79.98526268,2.5,12,1,TRUE,2,,,,,,"Restaurants, Pizza",Restaurants, Pizza,,,,,,,,,,,,,,,,,,
Asiatique Thai Bistro,6525 Penn Ave,Pittsburgh,PA,15206,40.45655085,-79.91487041,3.5,70,1,TRUE,2,none,free,,,,"Restaurants, Thai",Restaurants, Thai,,,,,,,,,,,,,,,,,,
Sushi Too,5432 Walnut St,Pittsburgh,PA,15232,40.4507666,-79.9341321,3,125,1,TRUE,2,full_bar,free,FALSE,TRUE,,"Restaurants, Seafood, Sushi Bars, Japanese",Restaurants, Seafood, Sushi Bars, Japanese,,,,,,,,,,,,,,,,
Vocelli Pizza,4740 Baum Blvd,Pittsburgh,PA,15213,40.4539049,-79.9488432,2.5,17,1,TRUE,1,,,,,,"Pizza, Restaurants",Pizza, Restaurants,,,,,,,,,,,,,,,,,,
China House Chinese Restaurant,12037 Perry Hwy,Wexford,PA,15090,40.6317096,-80.059012,3.5,19,1,TRUE,1,none,no,,TRUE,,"Chinese, Restaurants",Chinese, Restaurants,,,,,,,,,,,,,,,,,,
Salonika Imports,3509 Smallman St,Pittsburgh,PA,15201,40.4647353,-79.9678141,4.5,7,1,TRUE,,,,,,,"Food, Restaurants, Mediterranean, Grocery",Food, Restaurants, Mediterranean, Grocery,,,,,,,,,,,,,,,,
Ka Mei,2209 Murray Ave,Pittsburgh,PA,15217,40.4324863,-79.9228558,3.5,80,1,TRUE,2,none,no,,TRUE,,"Chinese, Restaurants, Cantonese",Chinese, Restaurants, Cantonese,,,,,,,,,,,,,,,,,
